bot_i,bot_j,matches,wins_i,draws,losses_i,empirical_score_i,empirical_score_j,score_i_physical_a,score_i_physical_b,side_score_delta,paired_side_outcome_delta_mean,timeout_rate,damage_i_mean,damage_j_mean
bank_anchor_cover_sweeper,bank_anchor_face_shooter,40,11,4,25,0.325,0.675,0.15,0.5,0.35,0.45,0.1,49.0,74.0
bank_anchor_cover_sweeper,bank_anchor_kiter,40,9,8,23,0.325,0.675,0.3,0.35,0.04999999999999999,0.4,0.2,52.0,70.0
bank_anchor_cover_sweeper,bank_anchor_rusher,40,16,1,23,0.4125,0.5875,0.35,0.475,0.125,0.725,0.025,57.0,76.0
bank_anchor_cover_sweeper,bank_anchor_search_pursuer,40,14,4,22,0.4,0.6,0.2,0.6,0.39999999999999997,0.6,0.1,54.0,72.0
bank_anchor_cover_sweeper,bank_anchor_strafe_shooter,40,13,6,21,0.4,0.6,0.35,0.45,0.10000000000000003,0.6,0.15,61.0,71.0
bank_anchor_cover_sweeper,bank_original_combat_expert,40,0,10,30,0.125,0.875,0.15,0.1,0.04999999999999999,0.2,0.25,14.0,80.0
bank_anchor_cover_sweeper,bank_phase4_anti_strafe,40,3,0,37,0.075,0.925,0.1,0.05,0.05,0.15,0.0,25.5,96.5
bank_anchor_cover_sweeper,bank_phase4_generalist,40,2,0,38,0.05,0.95,0.1,0.0,0.1,0.1,0.0,22.5,98.5
bank_anchor_cover_sweeper,bank_phase4_obstacle_search,40,2,0,38,0.05,0.95,0.1,0.0,0.1,0.1,0.0,22.5,99.0
bank_anchor_cover_sweeper,bank_phase5_hunter,40,4,0,36,0.1,0.9,0.2,0.0,0.2,0.2,0.0,37.0,98.0
bank_anchor_cover_sweeper,bank_phase5_peeker,40,4,15,21,0.2875,0.7125,0.3,0.275,0.024999999999999967,0.375,0.375,25.5,58.0
bank_anchor_face_shooter,bank_anchor_kiter,40,24,0,16,0.6,0.4,0.5,0.7,0.19999999999999996,0.8,0.0,79.5,61.0
bank_anchor_face_shooter,bank_anchor_rusher,40,25,0,15,0.625,0.375,0.5,0.75,0.25,0.75,0.0,72.5,65.0
bank_anchor_face_shooter,bank_anchor_search_pursuer,40,20,0,20,0.5,0.5,0.25,0.75,0.5,1.0,0.0,70.0,70.0
bank_anchor_face_shooter,bank_anchor_strafe_shooter,40,25,1,14,0.6375,0.36250000000000004,0.575,0.7,0.125,0.625,0.025,79.5,55.0
bank_anchor_face_shooter,bank_original_combat_expert,40,15,5,20,0.4375,0.5625,0.375,0.5,0.125,0.625,0.125,47.5,75.0
bank_anchor_face_shooter,bank_phase4_anti_strafe,40,25,0,15,0.625,0.375,0.5,0.75,0.25,0.25,0.0,72.5,65.0
bank_anchor_face_shooter,bank_phase4_generalist,40,25,0,15,0.625,0.375,0.5,0.75,0.25,0.25,0.0,72.5,62.5
bank_anchor_face_shooter,bank_phase4_obstacle_search,40,25,0,15,0.625,0.375,0.25,1.0,0.75,0.75,0.0,70.0,70.0
bank_anchor_face_shooter,bank_phase5_hunter,40,15,0,25,0.375,0.625,0.25,0.5,0.25,0.75,0.0,70.0,90.0
bank_anchor_face_shooter,bank_phase5_peeker,40,20,15,5,0.6875,0.3125,0.75,0.625,0.125,0.375,0.375,60.0,37.5
bank_anchor_kiter,bank_anchor_rusher,40,22,0,18,0.55,0.44999999999999996,0.5,0.6,0.09999999999999998,0.9,0.0,69.5,72.5
bank_anchor_kiter,bank_anchor_search_pursuer,40,20,0,20,0.5,0.5,0.5,0.5,0.0,1.0,0.0,64.5,73.0
bank_anchor_kiter,bank_anchor_strafe_shooter,40,18,7,15,0.5375,0.4625,0.55,0.525,0.025000000000000022,0.775,0.175,60.5,54.5
bank_anchor_kiter,bank_original_combat_expert,40,15,11,14,0.5125,0.48750000000000004,0.525,0.5,0.025000000000000022,0.325,0.275,44.0,65.5
bank_anchor_kiter,bank_phase4_anti_strafe,40,20,0,20,0.5,0.5,0.25,0.75,0.5,0.5,0.0,57.5,68.0
bank_anchor_kiter,bank_phase4_generalist,40,20,0,20,0.5,0.5,0.35,0.65,0.30000000000000004,0.5,0.0,59.5,71.5
bank_anchor_kiter,bank_phase4_obstacle_search,40,15,0,25,0.375,0.625,0.3,0.45,0.15000000000000002,0.45,0.0,49.0,86.5
bank_anchor_kiter,bank_phase5_hunter,40,20,1,19,0.5125,0.48750000000000004,0.4,0.625,0.22499999999999998,0.425,0.025,62.0,80.5
bank_anchor_kiter,bank_phase5_peeker,40,11,24,5,0.575,0.42500000000000004,0.625,0.525,0.09999999999999998,0.1,0.6,38.5,39.0
bank_anchor_rusher,bank_anchor_search_pursuer,40,20,0,20,0.5,0.5,0.5,0.5,0.0,1.0,0.0,70.0,70.0
bank_anchor_rusher,bank_anchor_strafe_shooter,40,28,1,11,0.7125,0.2875,0.625,0.8,0.17500000000000004,0.525,0.025,79.5,55.5
bank_anchor_rusher,bank_original_combat_expert,40,7,5,28,0.2375,0.7625,0.375,0.1,0.275,0.475,0.125,38.0,82.5
bank_anchor_rusher,bank_phase4_anti_strafe,40,19,0,21,0.475,0.525,0.3,0.65,0.35000000000000003,0.45,0.0,62.5,75.0
bank_anchor_rusher,bank_phase4_generalist,40,20,0,20,0.5,0.5,0.3,0.7,0.39999999999999997,0.5,0.0,63.0,75.0
bank_anchor_rusher,bank_phase4_obstacle_search,40,16,0,24,0.4,0.6,0.3,0.5,0.2,0.3,0.0,54.5,88.5
bank_anchor_rusher,bank_phase5_hunter,40,15,0,25,0.375,0.625,0.25,0.5,0.25,0.75,0.0,63.5,90.0
