bot_id,bank_original_combat_expert,bank_anchor_face_shooter,bank_phase5_peeker,bank_phase4_generalist,bank_anchor_kiter,bank_phase4_anti_strafe,bank_anchor_strafe_shooter,bank_anchor_cover_sweeper,bank_phase4_obstacle_search,bank_anchor_rusher
bank_original_combat_expert,0.500000,0.562500,0.625000,0.562500,0.487500,0.625000,0.875000,0.875000,0.750000,0.762500
bank_anchor_face_shooter,0.437500,0.500000,0.687500,0.625000,0.600000,0.625000,0.637500,0.675000,0.625000,0.625000
bank_phase5_peeker,0.375000,0.312500,0.500000,0.500000,0.425000,0.687500,0.737500,0.712500,0.500000,0.712500
bank_phase4_generalist,0.437500,0.375000,0.500000,0.500000,0.500000,0.375000,0.825000,0.950000,0.375000,0.500000
bank_anchor_kiter,0.512500,0.400000,0.575000,0.500000,0.500000,0.500000,0.537500,0.675000,0.375000,0.550000
bank_phase4_anti_strafe,0.375000,0.375000,0.312500,0.625000,0.500000,0.500000,0.675000,0.925000,0.125000,0.525000
bank_anchor_strafe_shooter,0.125000,0.362500,0.262500,0.175000,0.462500,0.325000,0.500000,0.600000,0.100000,0.287500
bank_anchor_cover_sweeper,0.125000,0.325000,0.287500,0.050000,0.325000,0.075000,0.400000,0.500000,0.050000,0.412500
bank_phase4_obstacle_search,0.250000,0.375000,0.500000,0.625000,0.625000,0.875000,0.900000,0.950000,0.500000,0.600000
bank_anchor_rusher,0.237500,0.375000,0.287500,0.500000,0.450000,0.475000,0.712500,0.587500,0.400000,0.500000
